Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-08-05,D,G950-04226-02,2020-08-05T09:26:08Z,M39,LED-M3903,WIP0804105APAM07E,"Frame_Check_Step3_Top_LED2-3-B_B
Frame_Check_Step3_Top_LED2-1-B_B
Calibrate_Step2_Check_Top_LED_3_Brightness_Ratio
Calibrate_Step2_Check_Top_LED_1_Brightness_Ratio
Frame_Check_Step3_Top_LED2-5-B_B
Calibrate_Step2_Check_Top_LED_4_Brightness_Ratio
Frame_Check_Step3_Top_LED2-4-B_B
Frame_Check_Step3_Top_LED2-2-B_B
","Frame_Check_Step3_Top_LED2-3-B_B  13.466666666666667
Frame_Check_Step3_Top_LED2-1-B_B  13.28
Calibrate_Step2_Check_Top_LED_3_Brightness_Ratio  0.576235
Calibrate_Step2_Check_Top_LED_1_Brightness_Ratio  0.583838
Frame_Check_Step3_Top_LED2-5-B_B  13.173333333333334
Calibrate_Step2_Check_Top_LED_4_Brightness_Ratio  0.629198
Frame_Check_Step3_Top_LED2-4-B_B  13.466666666666667
Frame_Check_Step3_Top_LED2-2-B_B  13.346666666666666
",0,0,1,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T09:21:13Z,M39,LED-M3903,WIP0804105APAM023,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:41:05Z,M39,LED-M3905,WIP0804105APALYYL,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:42:28Z,M39,LED-M3905,WIP0804105APALYWM,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:48:13Z,M29,LED-M2903,WIP0804105APALKM3,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:51:51Z,N29,LED-N2905,WIP0804105APALW2F,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T09:42:28Z,M39,LED-M3905,WIP0804105APALYWM,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:10:27Z,M39,LED-M3901,WIP0804105APAM03B,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:16:10Z,M39,LED-M3901,WIP0804105APALYU0,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:15:04Z,N39,LED-N3905,WIP0804105APAM7DE,"Frame_Check_Step3_Side_LED2-5-W_G
Frame_Check_Step3_Top_LED4-5-W_G
Frame_Check_Step3_Side_LED1-5-W_G
","Frame_Check_Step3_Side_LED2-5-W_G  0.0
Frame_Check_Step3_Top_LED4-5-W_G  0.0
Frame_Check_Step3_Side_LED1-5-W_G  0.0
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T10:23:17Z,M39,LED-M3905,WIP0804105APALYTB,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:23:45Z,M39,LED-M3905,WIP0804105APALYRP,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:24:03Z,N19,LED-N1902,WIP0803105APAL23E,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:24:36Z,N19,LED-N1902,WIP0804105APALXC3,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:25:12Z,N19,LED-N1902,WIP0804105APALXC4,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:27:24Z,N19,LED-N1901,WIP0804105APALXBG,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:27:26Z,M39,LED-M3901,WIP0804105APALKGJ,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:28:01Z,M39,LED-M3901,WIP0804105APALYYE,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:28:01Z,N19,LED-N1901,WIP0804105APALXB9,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:28:37Z,M39,LED-M3901,WIP0804105APAM002,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:28:01Z,M39,LED-M3901,WIP0804105APALYYE,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:30:02Z,M39,LED-M3901,WIP0804105APALKGE,device offline,device offline YES,0,0,0,0,1,
