Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-08-05,D,GA00781-ES,2020-08-05T08:48:42Z,L29,PROVISION-L2908,WIP0803105APAL7RU,"check_fct
check_led_file
push_hwtxt
check_sounds_file
check_mode
fct_version
sku_otp
set_locale
set_anim
sku_fdv
sku_fsi
led_cal
set_color
store_wifi_txpower
boot_mode
","check_fct  None
check_led_file  None
push_hwtxt  None
check_sounds_file  None
check_mode  None
fct_version  None
sku_otp  None
set_locale  None
set_anim  None
sku_fdv  None
sku_fsi  None
led_cal  None
set_color  None
store_wifi_txpower  None
boot_mode  None
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T08:48:08Z,k49,PROVISION-k4902,WIP0803105APAKND5,"flash_fsi
","flash_fsi  FAIL
",0,1,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T08:56:54Z,K49,PROVISION-K4907,WIP0803105APAKMUT,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:02:25Z,L29,PROVISION-L2907,WIP0803105APAKNN5,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:03:54Z,L29,PROVISION-L2908,WIP0803105APAKN7G,"check_led_file
push_hwtxt
led_cal
check_mode
sku_otp
set_locale
set_anim
sku_fdv
sku_fsi
check_sounds_file
store_wifi_txpower
boot_mode
","check_led_file  None
push_hwtxt  None
led_cal  None
check_mode  None
sku_otp  None
set_locale  FAIL
set_anim  None
sku_fdv  None
sku_fsi  None
check_sounds_file  None
store_wifi_txpower  None
boot_mode  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:05:43Z,L29,PROVISION-L2902,WIP0803105APAKNP1,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T09:06:54Z,k49,PROVISION-k4902,WIP0803105APAL3F1,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:06:41Z,L29,PROVISION-L2905,WIP0803105APAKNUK,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",0,1,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:11:11Z,L29,PROVISION-L2905,WIP0803105APAKNB6,"flash_fsi
","flash_fsi  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T09:13:04Z,k49,PROVISION-k4902,WIP0801105APAKBD5,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",0,0,1,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T09:16:26Z,K49,PROVISION-K4907,WIP0801105APAKC7T,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
