Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-07-11,D,GA01919-US,2020-07-11T12:59:47Z,F4-C14,0EE_F4-C14_FATP-QT_03,WIP07101HFAK00U6C,"Button_check_5_SW2_BACK-maxforce-2.3N
Button_check_11_SW3_Home-maxforce-2.3N
Button_check_12_SW4_YouTube-maxforce-2.3N
Button_check_9_SW5_Power-maxforce-2.3N
Button_check_10_SW12_Input_source-maxforce-2.3N
Button_check_8_SW11_NetFlix-maxforce-2.3N
Button_check_7_SW10_Mute-maxforce-2.3N
Button_check_6_SW9_Assistant-maxforce-2.3N
Button_check_3_SW13_RIGHT-maxforce-2.3N
Button_check_13_SW_Side_volume_up-maxforce-3.5N
Button_check_14_SW_Side_volume_down-maxforce-3.5N
","Button_check_5_SW2_BACK-maxforce-2.3N  _5+OK_0#
Button_check_11_SW3_Home-maxforce-2.3N  _11+OK_0#
Button_check_12_SW4_YouTube-maxforce-2.3N  _12+OK_0#
Button_check_9_SW5_Power-maxforce-2.3N  _9+OK_0#
Button_check_10_SW12_Input_source-maxforce-2.3N  _10+OK_0#
Button_check_8_SW11_NetFlix-maxforce-2.3N  _8+OK_0#
Button_check_7_SW10_Mute-maxforce-2.3N  _7+OK_0#
Button_check_6_SW9_Assistant-maxforce-2.3N  _6+OK_0#
Button_check_3_SW13_RIGHT-maxforce-2.3N  _3+OK_0#
Button_check_13_SW_Side_volume_up-maxforce-3.5N  _13+OK_0#
Button_check_14_SW_Side_volume_down-maxforce-3.5N  _14+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T12:48:55Z,F4-C54,0EE_F4-C54_FATP-QT_02,WIP07101HFAK00VRD,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match_or_scasn_B_barcode
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T13:09:52Z,F4-C14,0EE_F4-C14_FATP-QT_03,WIP07101HFAK00U3M,"Button_check_0_SW6_UP-maxforce-2.3N
Button_check_4_SW7_ENTER-maxforce-2.3N
Button_check_1_SW8_DOWN-maxforce-2.3N
Button_check_2_SW1_LEFT-maxforce-2.3N
Button_check_5_SW2_BACK-maxforce-2.3N
Button_check_11_SW3_Home-maxforce-2.3N
Button_check_12_SW4_YouTube-maxforce-2.3N
Button_check_9_SW5_Power-maxforce-2.3N
Button_check_10_SW12_Input_source-maxforce-2.3N
Button_check_8_SW11_NetFlix-maxforce-2.3N
Button_check_7_SW10_Mute-maxforce-2.3N
Button_check_6_SW9_Assistant-maxforce-2.3N
Button_check_3_SW13_RIGHT-maxforce-2.3N
Button_check_13_SW_Side_volume_up-maxforce-3.5N
Button_check_14_SW_Side_volume_down-maxforce-3.5N
","Button_check_0_SW6_UP-maxforce-2.3N  _0+OK_0#
Button_check_4_SW7_ENTER-maxforce-2.3N  _4+OK_0#
Button_check_1_SW8_DOWN-maxforce-2.3N  _1+OK_0#
Button_check_2_SW1_LEFT-maxforce-2.3N  _2+OK_0#
Button_check_5_SW2_BACK-maxforce-2.3N  _5+OK_0#
Button_check_11_SW3_Home-maxforce-2.3N  _11+OK_0#
Button_check_12_SW4_YouTube-maxforce-2.3N  _12+OK_0#
Button_check_9_SW5_Power-maxforce-2.3N  _9+OK_0#
Button_check_10_SW12_Input_source-maxforce-2.3N  _10+OK_0#
Button_check_8_SW11_NetFlix-maxforce-2.3N  _8+OK_0#
Button_check_7_SW10_Mute-maxforce-2.3N  _7+OK_0#
Button_check_6_SW9_Assistant-maxforce-2.3N  _6+OK_0#
Button_check_3_SW13_RIGHT-maxforce-2.3N  _3+OK_0#
Button_check_13_SW_Side_volume_up-maxforce-3.5N  _13+OK_0#
Button_check_14_SW_Side_volume_down-maxforce-3.5N  _14+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T13:12:24Z,F4-C54,0EE_F4-C54_FATP-QT_03,WIP07101HFAK00VPL,"QT2_IR_Decode_Center
QT2_IR_Decode_Up
QT2_IR_Decode_Down
QT2_IR_Decode_Left
QT2_IR_Decode_Right
","QT2_IR_Decode_Center  None
QT2_IR_Decode_Up  None
QT2_IR_Decode_Down  None
QT2_IR_Decode_Left  None
QT2_IR_Decode_Right  None
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T13:13:15Z,F4-C54,0EE_F4-C54_FATP-QT_02,WIP07101HFAK00VV7,"DUT_MLBSN
DUT_FCT_VERSION
DUT_HARDWARE_VERSION
CHECK_FCT_VERSION
CHECK_MLBSN
BTMAC
Write_wipsn
Read_wipsn
Check_wipsn
Read_dsn
Check_dsn
","DUT_MLBSN  
DUT_FCT_VERSION  
DUT_HARDWARE_VERSION  
CHECK_FCT_VERSION  FAIL
CHECK_MLBSN  FAIL
BTMAC  None
Write_wipsn  None
Read_wipsn  None
Check_wipsn  None
Read_dsn  None
Check_dsn  None
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T13:25:58Z,F4-C14,0EE_F4-C14_FATP-QT_04,WIP07101HFAK00UA1,"I_Active
","I_Active  0.002557
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T12:40:45Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00VP7,"Button_check_13_SW_Side_volume_up-maxforce-3.5N
I_Active
","Button_check_13_SW_Side_volume_up-maxforce-3.5N  _13+OK_0#
I_Active  0.00282
",0,0,1,0,0,
2020-07-11,D,GA01919-US,2020-07-11T13:45:52Z,F4-C14,0EE_F4-C14_FATP-QT_03,WIP07101HFAK00U7N,"QT2_IR_Decode_Center
QT2_IR_Decode_Up
QT2_IR_Decode_Down
QT2_IR_Decode_Left
QT2_IR_Decode_Right
","QT2_IR_Decode_Center  FAIL
QT2_IR_Decode_Up  FAIL
QT2_IR_Decode_Down  FAIL
QT2_IR_Decode_Left  FAIL
QT2_IR_Decode_Right  FAIL
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T13:45:41Z,F4-C14,0EE_F4-C14_FATP-QT_03,WIP07101HFAK00UAE,"QT2_IR_Decode_Center
QT2_IR_Decode_Up
QT2_IR_Decode_Down
QT2_IR_Decode_Left
QT2_IR_Decode_Right
","QT2_IR_Decode_Center  FAIL
QT2_IR_Decode_Up  FAIL
QT2_IR_Decode_Down  FAIL
QT2_IR_Decode_Left  FAIL
QT2_IR_Decode_Right  FAIL
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T13:45:42Z,F4-C14,0EE_F4-C14_FATP-QT_03,WIP07101HFAK00UCY,"QT2_IR_Decode_Center
QT2_IR_Decode_Up
QT2_IR_Decode_Down
QT2_IR_Decode_Left
QT2_IR_Decode_Right
","QT2_IR_Decode_Center  FAIL
QT2_IR_Decode_Up  FAIL
QT2_IR_Decode_Down  FAIL
QT2_IR_Decode_Left  FAIL
QT2_IR_Decode_Right  FAIL
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T13:51:00Z,F4-C14,0EE_F4-C14_FATP-QT_02,WIP07101HFAK00UDV,"Button_check_13_SW_Side_volume_up-maxforce-3.5N
","Button_check_13_SW_Side_volume_up-maxforce-3.5N  _13+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T13:57:32Z,F4-C54,0EE_F4-C54_FATP-QT_02,WIP07101HFAK00W0B,"DUT_MLBSN
DUT_FCT_VERSION
DUT_HARDWARE_VERSION
CHECK_FCT_VERSION
CHECK_MLBSN
BTMAC
Write_wipsn
Read_wipsn
Check_wipsn
Read_dsn
Check_dsn
","DUT_MLBSN  
DUT_FCT_VERSION  
DUT_HARDWARE_VERSION  
CHECK_FCT_VERSION  FAIL
CHECK_MLBSN  FAIL
BTMAC  None
Write_wipsn  None
Read_wipsn  None
Check_wipsn  None
Read_dsn  None
Check_dsn  None
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T14:00:14Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00W0G,"I_Active
","I_Active  0.002826
",1,0,0,0,0,
